Algorithm: tsa1(depth=5)
Closure: True
Length of permutations for unexpected coincidences: 8

[388, 1412]
[389, 1413]
[1131, 3179]
[1382, 1844]
[2048, 2146, 3139, 3171, 16944, 17937, 17969, 34883, 34914, 34915, 35907, 35938, 49681, 49712, 49713, 50705, 50736]
[2542, 3004]
[2584, 2585]
[3176, 3178]
[3400, 3401]
[3608, 3609]
[4194, 4195]
[4484, 5508]
[4485, 5509]
[4784, 37552]
[5680, 22064]
[5681, 22065]
[6224, 38992]
[6225, 38993]
[6241, 39009]
[6256, 39024]
[6257, 39025]
[8298, 41066]
[8324, 8356]
[8452, 9476]
[8453, 9477]
[8460, 9484]
[8461, 9485]
[8576, 8608]
[8584, 8616]
[10277, 11301]
[11457, 26241]
[11470, 26254]
[11471, 26255]
[11488, 26272]
[12420, 12452]
[15824, 30608]
[15825, 30609]
[15838, 30622]
[15839, 30623]
[16801, 17825]
[16906, 49674]
[16907, 49675]
[16937, 49705]
[16938, 49706]
[16939, 49707]
[21570, 21571]
[22020, 22021]
[29030, 29492]
[31214, 31676]
[33126, 33588]
[34178, 34210]
[34328, 34329]
[35310, 35772]
[35352, 35353]
[35944, 35946]
[36376, 36377]
[36962, 36963]
[37954, 37955]
[41092, 41124]
[41344, 41376]
[41352, 41384]
[42004, 42036]
[45188, 45220]
[54338, 54339]
[54816, 54832]
[61798, 62260]
[63982, 64444]
